trial_num,map,num_agents,wrong_objective,unique_id,wrong_attempts
8,D1_2,0,0,nAfLJBK,0
9,D1_0,0,0,nAfLJBK,0
10,UN_2,0.79,1,nAfLJBK,0
11,P1_0,0.47,0,nAfLJBK,0
12,UN_1,0.22,0,nAfLJBK,0
13,P2_1,0.72,1,nAfLJBK,0
14,D2_1,1,0,nAfLJBK,0
15,P1_2,0.44,0,nAfLJBK,0
1,UN_0,0.03,0,5uliUZP,0
2,UN_2,0.95,0,5uliUZP,0
3,P2_0,0.12,0,5uliUZP,0
4,P2_1,0.1,0,5uliUZP,0
5,D2_0,0.92,0,5uliUZP,0
6,P1_2,0.16,0,5uliUZP,0
7,D1_0,0.2,0,5uliUZP,0
8,P1_1,0.08,0,5uliUZP,0
9,D2_1,0.93,0,5uliUZP,0
10,D1_1,0.1,0,5uliUZP,0
11,UN_1,0.25,0,5uliUZP,0
12,D1_2,0.07,0,5uliUZP,0
13,D2_2,0.84,0,5uliUZP,0
14,P2_2,0.96,0,5uliUZP,0
15,P1_0,0.27,0,5uliUZP,0
1,D1_1,0.87,0,drZjlOP,0
2,P1_1,0.34,0,drZjlOP,0
3,P2_0,0.26,0,drZjlOP,0
4,P2_2,0.75,0,drZjlOP,0
5,P1_2,0.84,0,drZjlOP,0
6,D2_0,0.71,0,drZjlOP,0
7,UN_1,0.46,0,drZjlOP,0
8,D1_0,0.31,0,drZjlOP,0
9,D1_2,0.28,0,drZjlOP,0
10,UN_0,0.28,0,drZjlOP,0
11,D2_2,0.68,0,drZjlOP,0
12,D2_1,0.29,0,drZjlOP,0
13,P1_0,0.69,0,drZjlOP,0
14,P2_1,0.32,0,drZjlOP,0
15,UN_2,0.73,0,drZjlOP,0
1,D2_1,0.65,2,gIwqDaw,1
2,P2_0,0.7,17,gIwqDaw,1
3,UN_2,0.72,1,gIwqDaw,1
4,P1_0,0.69,0,gIwqDaw,1
5,UN_1,0.62,0,gIwqDaw,1
6,D2_2,0.71,1,gIwqDaw,1
7,D2_0,0.76,0,gIwqDaw,1
8,D1_0,0.84,0,gIwqDaw,1
9,P1_1,0.75,3,gIwqDaw,1
10,D1_2,0.79,0,gIwqDaw,1
11,P2_2,0.53,0,gIwqDaw,1
12,D1_1,0.73,0,gIwqDaw,1
13,P2_1,0.71,2,gIwqDaw,1
14,UN_0,0.74,1,gIwqDaw,1
15,P1_2,0.7,4,gIwqDaw,1
1,D1_1,0.34,0,hJUEJE1,0
2,D1_2,0.04,0,hJUEJE1,0
3,UN_2,0.01,0,hJUEJE1,0
4,P2_1,0.95,0,hJUEJE1,0
5,D1_0,0.64,0,hJUEJE1,0
6,P1_2,0.95,0,hJUEJE1,0
7,D2_0,0.95,0,hJUEJE1,0
8,P2_2,0.97,0,hJUEJE1,0
9,UN_0,0.03,0,hJUEJE1,0
10,P1_1,0.94,0,hJUEJE1,0
11,D2_1,0.98,0,hJUEJE1,0
12,P1_0,0.18,0,hJUEJE1,0
13,D2_2,0.98,0,hJUEJE1,0
14,UN_1,0.42,0,hJUEJE1,0
15,P2_0,0.49,0,hJUEJE1,0
1,P1_1,0.76,0,7caIlzw,0
2,D2_1,1,0,7caIlzw,0
3,UN_1,0.49,0,7caIlzw,0
4,D1_1,1,0,7caIlzw,0
5,P2_1,0.67,0,7caIlzw,0
6,D1_2,0,0,7caIlzw,0
7,D2_2,1,0,7caIlzw,0
8,D1_0,0.22,0,7caIlzw,0
9,UN_0,0.49,0,7caIlzw,0
10,P1_0,0.49,0,7caIlzw,0
11,P1_2,0.52,0,7caIlzw,0
12,P2_2,1,0,7caIlzw,0
13,P2_0,0.5,0,7caIlzw,0
14,UN_2,0.49,0,7caIlzw,0
15,D2_0,1,0,7caIlzw,0
1,D2_0,0.61,0,mNnEbf5,0
2,D1_2,0.68,0,mNnEbf5,0
3,UN_0,0.39,0,mNnEbf5,0
4,P1_1,0.82,0,mNnEbf5,0
5,P2_2,0.87,0,mNnEbf5,0
6,P1_2,0.51,0,mNnEbf5,0
7,D2_2,0.86,0,mNnEbf5,0
8,D1_1,0.52,0,mNnEbf5,0
9,D1_0,0.71,0,mNnEbf5,0
10,P1_0,0.5,0,mNnEbf5,0
11,UN_1,0.16,0,mNnEbf5,0
12,P2_0,0.41,0,mNnEbf5,0
13,UN_2,0.51,0,mNnEbf5,0
14,P2_1,0.77,0,mNnEbf5,0
15,D2_1,0.83,0,mNnEbf5,0
1,D2_2,1,0,ud8cGQ4,1
